Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Apollo Tyres Limited,Tyres,"16,000",http://www.apollotyres.com,Onkar Singh Kanwar (Chairman and MD) Neeraj Kanwar (Vice Chairman & MD),₹172.73 billion (US$2.46 billion) [3],1972 [1],"Gurgaon, Haryana , India [2]"
Aban Offshore,Oil and gas,,http://www.abanoffshore.com/,"Reji Abraham , Managing Director",₹ 279.67 billion (US$4.0 billion) (2017),1986,"Chennai , Tamil Nadu , India"
Aftek,"Hardware Services, Embedded Systems and Enterprise systems",,http://www.aftek.com/,"Ranjit Dhuru, Chairman and CEO",,(1986),"Mumbai , India"
3i Infotech Limited,"Technology services , IT services Outsourcing",5500+ (As per Annual Report 2018-19),http://3i-infotech.com,"Padmanabhan Iyer, Managing Director & Global Chief Executive Officer [2]",₹ 991.19 crore (US$140 million) [3],1993 ; 26 years ago ( 1993 ),
Ajmera Realty & Infra India,Real estate,,http://www.aril.co.in,,,1985,"Mumbai , Maharashtra , India"
Amara Raja Group,,12500 (2013) [1],http://amararaja.com,Ramachandra Naidu Galla (Chairman) Galla Jayadev (Managing director),,20 December 1985,
Apollo Hospitals Enterprise Ltd,Healthcare,"43,557 (2016) [1]","http://www.apollohospitals.com/,https://www.wikidata.org/wiki/Q4780321?uselang=en#P856",,"₹ 6,058 crore (US$880 million) (2016) [1]",1983 ; 36 years ago ( 1983 ),"Chennai , Tamil Nadu , India"
ABB Ltd,Electrical equipment,"147,000 [3]",http://www.abb.com,"Peter Voser ( Chairman , ad interim CEO ) , Björn Rosengren (CEO from March 2020)",US$27.662 billion (2018) [1],"1988 through merger of ASEA (1883) of Sweden and Brown, Boveri & Cie (1891) of Switzerland","Zurich , Switzerland"
Alembic Pharmaceuticals Ltd.,Pharmaceuticals,9000+ (2017) [3],http://www.alembicpharmaceuticals.com/,"Chirayu Amin , ( Chairman ) Pranav Amin ( MD ) Shaunak Amin ( MD ) Udit Amin",₹ 31.31 billion (US$ 470.632 million) (2016-2017) [3],1907 [1],"Vadodara , Gujarat [2] , India"
BPL Ltd.,Electronics,around 250,http://bpl.in,,₹ 118.50 crore (US$17 million),"Palakkad , Kerala , India (1963)","Dynamic House, Church Street, Bangalore , Karnataka , India"
Andhra Bank,"Banking, Financial services",20981 (2016-17) [1],https://www.andhrabank.in/,J. Packirisamy (MD & CEO),"₹ 18,027.42 crore (US$2.6 billion) (2016-17) [1]",20 November 1923 ; 95 years ago ( 1923-11-20 ),Hyderabad
Strides Pharma Science Limited ,Pharmaceutical,approximately 2000,http://www.strides.com,"Arun Kumar, Group CEO & Managing Director Shashank Sinha, CEO – International Business Badree Komandur, Executive Director-Finance Mohan Kumar, CEO & Managing Director – Strides Pharma Global Gabriel Richard Simaan, Managing Director – Trinity Pharma Perviz Dhanani, Managing Director – Universal Corporation Ltd, Kenya Kevin Knarr, Sr. Vice President – Strides Pharma Inc Mohan Devneni, President – Technical – Strides Pharma Inc SOHEL ISLAM, GM - UK Operations, Strides Pharma UK Ltd.",$400 million (2017) [1],1990,"Strides House, Bilekahalli , Bannerghatta Road , Bangalore , India"
SQL Star International Limited,IT services,"~1,100 (As on 31 March 2008)",http://www.sqlstar.com/,,,1987,"Hyderabad , Andhra Pradesh , India"
Skipper Limited,,,http://www.skipperlimited.com/,"Sajan Kumar Bansal (Managing Director), Amit Kiran Deb (Chairman) [1]","₹ 14,623.5 million (US$210 million) (2016) [2]",1981,"Kolkata, India"
STEEL AUTHORITY OF INDIA,Steel,"71,297 (1 Aug 2019)",http://www.sail.co.in,Anil Kumar Chaudhary (Chairman) [1],"₹ 67,468 crore (US$9.8 billion) (2019) [2]",19 January 1954 ; 65 years ago ( 19 January 1954 ),"New Delhi, India"
Shree Cement Limited,Cement manufacturing (17.5 Million Tonnes per Annum) and Power Generation (597 Mw total installed capacity),,https://www.shreecement.com,Benu Gopal Bangur (Executive Chairman) Hari Mohan Bangur (Managing Director) Subhash Jajoo (C.F.O) R. L. Gaggar (Director) O. P. Setia (Director) Shreekant Somany (Director) Abid Hussain (Director) Y. K. Alagh (Director) Nitin Desai (Director),₹ 58.58 billion (US$850 million) 2013-2014 [1],,"Kolkata , India"
Shree Ashtavinayak Cine Vision Ltd,Motion picture,,http://www.ashtavinayakindia.com/,Dhillin Mehta ;  S.S Jaswal Hiren Gandhi Rupen Amlani,,2001,"Mumbai , Maharashtra , India"
The Bombay Dyeing & Mfg. Co. Ltd,Textiles,,"http://www.bombaydyeing.com/,https://www.wikidata.org/wiki/Q4940554?uselang=en#P856","Nusli Wadia – Chairman, Ratan Tata Chairman Jeh Wadia",Template:INRConvert 150m (2019),"1879 Bombay , Bombay Presidency , British India","Neville House, J.N. Heredia Marg,
Ballard Estate,
Mumbai-400 038, India"
Shiva Texyarn Limited,Textile,,http://www.shivatex.in,S.V. Alagappan ( chairman ) S.K. Sundararaman ( managing director ),"₹ 5,000 million",1980,"Coimbatore , TN , IN"
State Bank of India,"Banking , financial services","257,252 (March 2019) [1]",https://sbi.co.in/,Rajnish Kumar (Chairman),₹ 2.79644 trillion (US$40 billion) (2019) [1],"2 June 1806, Bank of Calcutta 15 April 1840, Bank of Bombay 1 July 1843, Bank of Madras 27 January 1921, Imperial Bank of India 1 July 1955, State Bank of India","State Bank Bhawan, M.C. Road, Nariman Point , Mumbai, Maharashtra , India"
Borosil Glass Works Ltd.,Houseware,,http://www.borosil.com/,Shreevar Kheruka (MD & CEO ) B.L. Kheruka ( Chairman ) [2],₹ 619.76 crore (US$90 million) [3] (FY17),1962 ; 57 years ago ( 1962 ),"1101, Crescenzo, G-Block, Bandra Kurla Complex , Bandra (East), Mumbai , Maharashtra , India"
Shakti Pumps India Limited,Pumps,~1400 (2016),https://www.shaktipumps.com/,"Mr. Dinesh Patidar, ( Chairman & MD ), Mr. Sunil Patidar (Executive Director), Mr. Ramesh Patidar (Head International Marketing), Mr. B.R. Patidar (Director-FICO), Mr. Ankit Patidar (CMD Shakti Irrigations)",$100 Million USD (2015),1982,"Pithampur , Madhya Pradesh , India"
Sasken Technologies Limited,"Product Engineering , Digital Transformation Semiconductor , Automotive , Enterprise grade Devices, Smart Devices and Wearables, Industrials , Satcom , Telecom",2000 approx. (as of March 2019),http://www.sasken.com/,"Rajiv C Mody, Chairman, MD & CEO Neeta Revankar, Whole-time Director & CFO Venkatesh G, Director",~Rs 504.31 Crores ( FY 18-19),1989,"Bengaluru , India"
Ruchi Soya Industries Ltd.,Conglomerate,,http://www.ruchisoya.com/,,,,"Indore , Madhya Pradesh , India"
Rolta,"IT services , IT consulting",,http://www.rolta.com,Kamal K. Singh ( Chairman & MD ) Preetha Pulusani] ( President ),,"29 June 1989 ; 30 years ago ( 1989-06-29 ) in Mumbai , Maharashtra , India","Mumbai , India"
Savita Oil Technologies Limited,Oil and Automotive,500 Plus,https://www.savita.com,N.K Mehra ( Founder ) Gautam N. Mehra ( Chairman & MD ) [1] [2],,,"Mumbai , Maharashtra , India"
Zylog Systems Limited,"IT services , IT consulting",697 (2014 October),http://zsl.com,"Ramanujam Sesharathnam (CEO & MD, Director of ZSL)",,"Chennai, Tamil Nadu (1995)","Chennai , Tamil Nadu , India"
