Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Prosus N.V.,Consumer Internet,"15,677 [1]",http://Prosus.com,"Koos Bekker , chair Bob van Dijk , CEO Basil Sgourdos, CFO",,,"Amsterdam , Netherlands"
Randstad NV,Professional services,"38,820 (2018 [1] )",http://www.randstad.com/,Wout Dekker (Chairman) Jacques van den Broek (Chairman and CEO) Robert Jan van de Kraats (Vice Chairman and CFO),€ 23.81 billion (2018) [1],1960 ; 59 years ago ( 1960 ),"Diemen , Netherlands"
Wolters Kluwer N.V.,"Publishing , information services","18,600 (2018) [3]",http://www.wolterskluwer.com,Nancy McKinstry ( CEO ) [1],€4.3 billion (2018) [2],1836,"Alphen aan den Rijn , Netherlands"
Royal Dutch Shell PLC,Oil and gas,"82,000 (2018)",http://www.shell.com,Charles O. Holliday ( Chairman ) Ben van Beurden ( CEO ),US$ 388.4 billion (2018),April 1907 ; 112 years ago ( 1907-04 ) in London,"Haagse Hout , The Hague , Netherlands (headquarters) Shell Centre , London , England (registered office)"
NN Group N.V.,"Insurance , Asset Management , Banking",,"https://www.nn-group.com/,https://www.nn.nl/",David Knibbe ( CEO ) Delfin Rueda (CFO),€ 5.6 billion,1963,"The Hague , Netherlands"
Galapagos NV,Pharmaceutical,725 (2018) [1],http://www.glpg.com/,"Onno van de Stolpe (CEO) , Raj Parekh (Chairman)",€288.836 million (2018) [1],1999,"Mechelen , Belgium"
Royal DSM,Chemicals,"21,054 (2017) [1]",http://www.dsm.com/,Feike Sijbesma ( CEO ) Geraldine Matchett ( CFO ) Rob J. Routs ( Chairman of the Supervisory Board ),€ 8.632 billion (2017) [1],1902 ; 117 years ago ( 1902 ),"Heerlen , Netherlands"
Koninklijke KPN N.V.,Telecommunications,"13,021 ( FTE , Dec. 2017) [1]","https://www.kpn.com/,https://www.wikidata.org/wiki/Q338633?uselang=en#P856","Joost Farwerck ( CEO ) , Duco Sickinghe ( Chairman of the supervisory board )",€ 6.498 billion (2017) [1],1893 (original; as PTT) 1 January 1989 (privatised),"Rotterdam , Netherlands"
Heineken N.V.,Beverage,"76,136 (2014) [3]",http://theheinekencompany.com,Jean-François van Boxmeer (Chairman/ CEO ) [1] Laurence Debroux ( CFO ) [1],€ 21.888 billion (2017) [2],12 July 1864 ; 155 years ago ( 1864-07-12 ),"Amsterdam , Netherlands"
Sporting CP,,,https://www.sporting.pt/en/,,,1 July 1906 ; 113 years ago ( 1906-07-01 ),
ING Groep N.V.,Financial services,"54,000 (2018) [2]",http://ing.com,Ralph Hamers ( CEO ) Tanate Phutrakul ( CFO ) Hans Wijers ( Chairman of the supervisory board ),€ 18.08 billion (2018) [2],1991 through merger [1] (est. 1743 as Kooger Doodenbos ),"Amsterdam , Netherlands"
UCB S.A.,Pharmaceuticals,"7,489 (end 2018) [1]",http://www.ucb.com/,"Gerhard Mayr ( Chairman ) , Jean Christophe Tellier ( CEO )",€ 4.632 billion (2018) [1],1928,"Brussels , Belgium"
Zalaris ASA,"Outsourcing , HR",900,http://www.zalaris.com,,NOK 262m in 2013 [1],2000,"Oslo , Norway"
TechnipFMC plc,Oil & Gas,"37,000",https://www.technipfmc.com,Thierry Pilenko (Executive Chairman) Douglas Pferdehirt (CEO),US$13 billion,"2017; Technip (1958), FMC Technologies (2001)","London , United Kingdom (legal domicile / Houston , United States , Paris , France ,  (Operational headquarters)"
Unibail-Rodamco-Westfield SE,Commercial real estate,3700 (2018),http://urw.com,Christophe Cuvillier (CEO) Colin Dyer (chairman of the supervisory board ),,27 June 2007 ; 12 years ago ( 2007-06-27 ),"Paris , France"
Umicore N.V.,Metals and Mining,"10,224 (2018) [3]",http://www.umicore.com/,Marc Grynberg ( CEO ) Thomas Leysen ( Chairman ),€ 11.9 billion (2017) [1],1989,"Brussels , Belgium"
Neopost S.A.,"Manufacturing , Technology","5,800 (end 2017) [1]","http://www.neopost.com/,http://www.neopostusa.com/,http://www.neopost.ca/,http://www.neopost.co.uk/,http://www.neopost.ie/,http://www.neopost.com.au/",Denis Thiery ( Chairman ) and Geoffrey Godet ( CEO ),€ 1.1 billion (2017) [1],1924,"Bagneux , France"
Koninklijke Philips N.V.,Conglomerate,"77,400 (2018) [2]",https://www.philips.com,Jeroen van der Veer (Chairman) Frans van Houten (CEO) Abhijit Bhattacharya (CFO) Hugo Barbosa Vazquez (Vice President),€ 18.121 billion (2018) [1],"15 May 1891 ; 128 years ago ( 1891-05-15 ) Eindhoven , Netherlands","Amsterdam , Netherlands"
Vivendi SA,Mass media,"44,142 [2] (2018)",http://www.vivendi.com/en,Arnaud de Puyfontaine ( CEO ) Stéphane Roussel ( COO ) Hervé Philippe ( CFO ),€ 13.932 billion [2] (2018),14 December 1853 ; 165 years ago ( 1853-12-14 ),"Paris , France"
Dassault Systèmes  SE,CAD / CAM / CAE / PLM Software,16 055 (12/31/2018),http://www.3ds.com,Bernard Charlès (Vice-chairman and CEO ) Charles Edelstenne ( Chairman ),"€3,477 million (2018) [1]",1981 ; 38 years ago ( 1981 ),"Vélizy-Villacoublay , France"
