title,industry,address,website
SONAE CAPITAL,"8000, Financials",Sonae Capital Lugar do Espido Via Norte PT-4471-907 Maia Portugal,http://www.sonaecapital.pt
"NOVABASE,SGPS","9000, Technology","Novabase S.G.P.S., S.A. Parque das Naçoes Avenida D. Joao II 34 PT-1998-031 Lisboa Portugal",http://www.novabase.pt
CTT CORREIOS PORT,"2000, Industrials","CTT - Correios de Portugal, S.A. Avenida D. Joao II 13 PT-1999-001 Lisboa Portugal",http://www.ctt.pt/ctt-e-investidores/index.html
EDP RENOVAVEIS,"7000, Utilities",EDP Renováveis Calle Serrano Galvache 56 Edificio Olmo 7th Floor 28033 Madrid Spain,www.edpr.com
REN,"7000, Utilities","REN - Redes Energéticas Nacionais, SGPS, S.A. Avenida Estados Unidos da América 55 PT-1749-061 Lisboa Portugal",http://www.ren.pt
CORTICEIRA AMORIM,"3000, ConsumerGoods","Corticeira Amorim, SGPS, S.A. Edifício Amorim I Rua de Meladas 380 PO Box 20 PT-4536-902 Mozelos Portugal",https://www.amorim.com/en/for-investors/highlights
ALTRI SGPS,"2000, Industrials","Altri, SGPS, S.A. Rua Manuel Pinto de Azevedo 818 PT-4000-320 Porto Portugal",http://www.altri.pt
MOTA ENGIL,"2000, Industrials","Mota-Engil, SGPS, S.A. Rua do Rego Lameiro 38 PT-4300-454 Porto Portugal",http://www.mota-engil.pt
"IMPRESA,SGPS","5000, Consumer Services",Impresa Rua Ribeiro Sanches 65 PT-1200-787 Lisboa Portugal,http://www.impresa.pt
"NOS, SGPS","5000, Consumer Services","NOS, SGPS Campo Grande Rua Actor Antonio Silva 9 PT-1600-404 Lisboa Portugal",http://www.nos.pt
NSI N.V.,"8000, Financials",NSI N.V. 69-75 Antareslaan POBox 3044 NL-2130 KA Hoofddorp Netherlands,http://www.nsi.nl
PHILIPS KON,"4000, HealthCare",Royal Philips Royal Philips 2 Amstelplein PO Box 77900 NL-1070 MX Amsterdam Netherlands,http://www.philips.com
PROVIDENCE RES.,"0001, Oil & Gas","Providence Resources P.l.c. Airfield House Airfield Park D04 CP49 Donnybrook, Dublin Ireland",http://www.providenceresources.com
SEMAPA,"1000, BasicMaterials",Semapa Avenida Fontes Pereira de Melo 14-10° PT-1050-121 Lisboa Portugal,http://www.semapa.pt
