Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
AOC International,,,http://www.aoc.com,,,1934 ; 85 years ago ( 1934 ) (as Admiral Overseas Corporation) Taiwan,"Taipei, Taiwan"
Anta Sports Products Limited ,Sportswear,,http://www.anta.cn,Chairman: Ding Shizhong,,1994 ; 25 years ago ( 1994 ) in Jinjiang,"Jinjiang , Fujian , China"
AIA Group Limited,Insurance and financial services,,http://aia.com,Ng Keng Hooi ( Group Chief Executive and President ),,19 December 1919 ; 99 years ago ( 1919-12-19 ),"AIA Central Central , Hong Kong"
Agile Property Holdings Limited,Real estate,,http://www.agile.com.cn/,"Chairman : Mr. Chen Zhuolin Vice-Chairlady and Co-President : Ms. Luk Sin Fong, Fion Vice-Chairman and Co-President : Mr. Chan Cheuk Yin Executive Director and Senior Vice-President : Mr. Chan Cheuk Hung, Mr. Chan Cheuk Nam, Mr. Chan Cheuk Hei",,1985,"Sanxiang , Zhongshan , Guangdong , People's Republic of China"
APT Satellite Holdings Limited,Telecommunications,,http://apstar.com,,HK$ 1.230 billion (2016),1992 ; 27 years ago ( 1992 ) (as APT Satellite),Hong Kong ( de facto ) Bermuda (registered office)
Air China,,,http://www.airchina.com,Cai Jianjiang (President and CEO) Song Zhiyong (Chairman),,1988 ; 31 years ago,"Beijing Tianzhu Airport Industrial Zone Shunyi District , Beijing , China"
361 Degrees International Limited,Sportswear and Sports Equipment,,http://www.361sport.com/,"Ding Wuhao, President and Executive Director",,2003 ; 16 years ago ( 2003 ),"Jinjiang , Fujian , China"
Angang Steel Company Limited,Steel,,http://www.ansteel.com.cn/,Chairman : Mr. Zhang Xiaogang,,1997,"Anshan , Liaoning , People's Republic of China"
Hong Kong Aircraft Engineering Company Limited ,Aerospace,"16,641 (2017) [2]",http://www.haeco.com/,"Chairman: Merlin Swire , CEO: Augustus Tang","HK$ 14,546 million (2017) [1]",23 November 1950,Hong Kong
Haidilao International Holding Ltd.,Hot Pot Restaurant,"60,000 [1]",http://www.haidilao.com,,,"March 20, 1994 ; 25 years ago ( 1994-03-20 ) in Jianyang, Sichuan , China",
Aluminum Corporation of China Limited,Metals,"103,493 (2013)","http://www.chalco.com.cn,http://www.chinalco.com","Xiong Weiping (CEO) , Ge Honglin (Chairman of the Board)",RMB 71.1 billion (2013),"2001 ; 18 years ago ( 2001 ) ( Beijing , China )","Beijing , China"
Guangshen Railway,Railway operations,,http://www.gsrc.com,Wu Yong (Chairman),,1996,"Shenzhen , China"
GZI Transport Limited ,Toll roads,,http://www.gzitransport.com.hk/,Chairman : Mr. Ou Bingchang,,1997,"Hong Kong Island , Hong Kong"
Guangdong Investment,"water supply, infrastructure, real estate, department store, hotel",,http://www.gdi.com.hk,Huang Xiaofeng (chairman),,5 January 1973 ( 1973-01-05 ) (predecessor) 12 July 1988 ( 1988-07-12 ) (as Guangdong Investment),"Guangdong Investment Tower, Hong Kong Island , Hong Kong"
Guotai Junan Securities,Financial services,,http://www.gtja.com,"YANG Dehong, Chairman of the Board WANG Song, President SHANG Hongbo, Chairman of the Supervisory Board [1]",RMB 37.6 billion（2015） [2],1992 ; 27 years ago ( 1992 ),"Shanghai , China"
Agricultural Bank of China,"Banking , financial services","473,691 (2018) [1]",http://www.abchina.com,Zhao Huan (President),CN¥ 602.56 billion $87.6 billion (2018) [1] [2],1951 ; 68 years ago ( 1951 ),"Beijing , China"
Greentown China Holdings Limited,Real estate,,http://www.chinagreentown.com/,Chairman : Mr. Song Weiping,,1995,"Hangzhou , Zhejiang , People's Republic of China"
"Xinjiang Goldwind Science & Technology Co., Ltd.",Wind power,"6,000 (2012)",http://www.goldwindglobal.com,Wu Gang ( CEO ),HK$ 30.6 B (2016) HK$ 37.06 B (2015) HK$ 22.27 B (2014),1998,"Beijing , China"
Anhui Conch Cement,Cement production and sales,,https://archive.is/20130101142000/http://www.conch.cn/,Chairman : Mr. Guo Wensan,,1997,"Wuhu , Anhui , People's Republic of China"
Golden Power Group,Alkaline Battery Carbon Battery Alkaline Button Cell Silver Zinc Battery Lithium Battery Zinc-air Battery Rechargeable Battery Charger,,http://www.goldenpower.com,,,1972,Hong Kong
Great Wall Motors,Automotive,,http://www.gwm-global.com/,Wei Jianjun ( Chairman of the Executive Directors ) Wang Fengying (CEO),RMB 98.62 billion (2016) [2],1984 ; 35 years ago ( 1984 ),"Baoding , Hebei , China [1]"
Global Brands Group Holding Limited  ,Consumer,"approximately 2,800",http://www.globalbrandsgroup.com/,Chairman: William Fung; Vice Chairmen: Bruce Rockowitz ; CEO: Rick Darling,"USD 3,891,153,000 (financial year ended 31 March 2017)",,Hong Kong
Kelon,White goods manufacturing,,http://www.kelon.com/,Chairman : Mr. Tang Yeguo General manager : Mr. Wang Shilei,,1984 ; 35 years ago ( 1984 ),"Shunde , Foshan , Guangdong , People's Republic of China"
GOME Electrical Appliances Holding Limited ,Electrical appliance retailing,"49,687 [2]",http://www.gome.com.hk,Chair: Mr. Chen Xiao,"RMB 24,729 million (2006) [1]",1987,"Beijing , People's Republic of China"
Ajisen Ramen,Foodservice,,http://www.aji1000.co.jp/,,,Japan,
Turquoise Hill Resources,Mining & Exploration,,http://www.turquoisehill.com,"John Macken , President Kay Priestly , ceo Christopher Bateman cfo",US $ 179.05 million (2011) 124% [3],1994,"Vancouver , Canada"
TravelSky Technology Limited,Aviation,">4,000 ( 2012 ) [1]",http://www.travelsky.com,"Xu Qiang (Chairman) Cui Zhixiong and Xiao Yinhong (Executive Directors) Wang Quanhua , Luo Chaogeng , Cao Guangfu (Non-Executive Directors) Yik Wing Fat, Simon , Yuan Yaohui , Chua Keng Kim (Independent Non-Executive Directors) Ding Weiping (Company Secretary) [ citation needed ]",940 USD ?,"Listed February 7, 2001","Beijing , China"
Glorious Property Holdings Limited,Real estate,,http://www.gloriousphl.com.cn/,Chairman : Zhang Zhi-Rong,,2007,"Shanghai , People's Republic of China"
Tracker Fund of Hong Kong ,,,http://www.trahk.com.hk/eng/index.asp,,,1999,"Hong Kong Island , Hong Kong"
Tsim Sha Tsui Properties Limited ,Properties,,http://www.sino-land.com/,Chairman : Mr. Robert Ng,,1972,"Hong Kong , People's Republic of China"
Towngas China Company Limited ,Natural gas,,http://www.towngaschina.com/,Chairman : Mr. Alfred Chan,2014 Revenue HKD 7.9 billion,2000,"Quarry Bay , Hong Kong"
TPV Technology Limited,Electronics,"29,014 [2]",http://www.tpv-tech.com,Jason Hsuan ( Chairman and CEO ),US$ 9.6 billion (2017) [1],,"Kwun Tong , Hong Kong"
Tingyi (Cayman Islands) Holding Corporation ,Foods,,"http://www.masterkong.com.cn/,http://www.masterkong.com.tw/",Chairman and CEO : Wei Ing-Chou [ zh ],,1991,"Tianjin , China"
Global Sweeteners Holdings Limited ,Foods,,http://www.global-sweeteners.com/,Chairman : Kong Zhan-peng,,2006 ; 13 years ago ( 2006 ),"Hong Kong , China"
Truly Semiconductors Ltd,LCD,"35,000",http://www.truly.com.hk,Lam Wai Wah Steven (Chairman and CEO),US$ 2.7 billion (2014),1991,Hong Kong
Transport International Holdings,Bus transport,"13,040 (December 2017)",http://www.tih.hk/english.php,,$7.9 billion (2017),1933,"Lai Chi Kok , Hong Kong"
Tianjin Development Holdings Limited ,Conglomerate,,http://www.tianjindev.com/,Chairman : Mr. Zeng Xiaoping,,9 May 1997 ; 22 years ago ( 9 May 1997 ),"Hong Kong , People's Republic of China"
