Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
"10x Genomics, Inc.",,500,http://10xgenomics.com,Serge Saxonov ( CEO ) Ben Hindson ( President and Chief Scientific Officer ),"US$145,000,000 (2018)",2012,"Pleasanton, California"
Akorn Inc.,,,"http://www.akorn.com/,https://www.wikidata.org/wiki/Q20539236?uselang=en#P856",,$841 million (2017),,"Forest Lake, Illinois , U.S."
1st Source Corporation,Banking,"1,150 (2017)",http://www.1stsource.com/,"Christopher J. Murphy III, Chairman & CEO James R. Seitz, President Andrea G. Short, CFO",,1863 ; 156 years ago ( 1863 ),"South Bend, Indiana"
"Alarm.com, Inc.","Security systems , remote monitoring , home automation , energy management",,http://alarm.com,"Steve Trundle (President and CEO) Alison Slavin (Co-Founder, VP of Product Management)",,2000,"Vienna, Virginia , U.S."
"1-800-Flowers.com, Inc.",Retail,,https://www.1800flowers.com/,James McCann (Chairman) Chris McCann (CEO),,1982,"Carle Place, New York , United States [2]"
"2U, Inc.",,"1,922 (2017)",http://2u.com,Paul A. Maeder (Chairman of the Board) Christopher J. Paucek (CEO),US$ 286.75 million (2017),2008 ; 11 years ago ( 2008 ),"Lanham, Maryland , U.S."
"8x8, Inc.",Cloud-based Business Communications Services,"1,497 (2019) [2]",http://www.8x8.com,"Vikram Verma (CEO) Bryan R. Martin (Chairman, CTO) Mary Ellen Genovese (CFO) [1]",$296.5 million (FY2018),,"San Jose, CA , USA"
"Akamai Technologies, Inc.",Internet Cloud computing,"7,650 (2018)",http://akamai.com,"George Conrades (Chairman) F. Thomson Leighton (Chief Scientist, CEO)",$2.71 billion (2018),1998 ; 21 years ago ( 1998 ),"Cambridge, Massachusetts , U.S."
1st Constitution Bancorp,Banking,183 (2017),https://www.1stconstitution.com/,"Charles S. Crow, III, Chairman Robert F. Mangano, CEO & President Stephen J. Gilhooly, CFO",,1989 ; 30 years ago ( 1989 ),"Cranbury, New Jersey"
Aixtron SE,Semiconductor industry,628 (end 2018) [1],http://www.aixtron.com,"Bernd Schulte (President) , Felix J. Grawert (President) , Kim Schindelhauer ( Chairman of the Supervisory Board )",€ 268.8 million (2018) [1],1983,"Herzogenrath , Germany"
Agios Pharmaceutical Inc.,Pharmaceuticals,,http://agios.com,Jackie Fouse (CEO),,2008 ( 2008 ),"Cambridge, Massachusetts , United States"
Agilysys Inc.,Hospitality Software,,http://www.agilysys.com,,,,"Alpharetta, Georgia , USA"
Agenus Inc.,"Biotechnology , Pharmaceutical Company",,http://www.agenusbio.com,Garo H. Armen ( Chairman and CEO ) Alexander R Duncan ( CTO ) Michael Plater ( CBO ),,1994 ; 25 years ago ( 1994 ),"3 Forbes Road, Lexington, Massachusetts, USA"
Air Methods Corporation,"Air Services, Other","5,000",http://www.airmethods.com/,"Steve Gorman, CEO Brent Smith, CFO JaeLynn Williams, VP/Sales Joe Resnik, VP of Safety",US$ 511 Million ( FY 2009 ) [1],1980,"Denver Technological Center Greenwood Village, Colorado , United States"
Change Healthcare,Healthcare,15000+,https://changehealthcare.com,"Neil E. de Crescenzo , President and CEO",,2005 ( 2005 ),"Nashville, Tennessee , U.S."
