Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
AbbVie Inc.,Biopharmaceutical,"~30,000 (January 2019) [1]",http://abbvie.com,Richard A. Gonzalez ( Chairman & CEO ),US$ 32.753 billion (2018) [1],2013 ; 6 years ago ( 2013 ),"Lake Bluff , Illinois , United States"
3D Systems Corporation,,"2,666 (2017)",http://3dsystems.com,"Vyomesh ""VJ"" Joshi ( President & CEO ) Chuck Hull ( CTO ) Andrew Johnson ( Chief Legal Officer )",US$ 646.84 million (2017) [1],"Valencia , California , U.S. (1986 ( 1986 ) )","Rock Hill , South Carolina , U.S."
A. H. Belo Corporation,Newspapers,"2,200 (2010) [1]",http://www.ahbelo.com,"Robert W. Decherd ( Chairman , President and CEO )",US$ 487.3 million (2010) [1],2008 ; 11 years ago ( 2008 ) (spun off from Belo),"Dallas , Texas , United States"
A. O. Smith Corporation,Water technology,"16,100 [3] (2017)",http://aosmith.com,Ajita G. Rajendra (Chairman & CEO) [1],US$2.5 billion ( FY 2015 ) [2],"Milwaukee, Wisconsin , United States, 1904 ( 1904 ) (original incorporation)","Milwaukee, Wisconsin , United States"
"Aaron's, Inc.",Furniture,"11,900 [2] (2017)",http://aarons.com,"John W. Robinson, III ( Director & CEO ) Steven A. Michaels ( CFO )",US$ 3.21 billion (2016) [1],"June 19, 1955 ; 64 years ago ( 1955-06-19 )","Atlanta , Georgia , U.S."
ABB Ltd,Electrical equipment,"147,000 [3]",http://www.abb.com,"Peter Voser ( Chairman , ad interim CEO ) , Björn Rosengren (CEO from March 2020)",US$27.662 billion (2018) [1],"1988 through merger of ASEA (1883) of Sweden and Brown, Boveri & Cie (1891) of Switzerland","Zurich , Switzerland"
Abbott Laboratories,Health care Pharmaceutical,"~103,000 (December 2018) [2]",http://www.abbott.com,Miles D. White ( Chairman & CEO ) Brian B. Yoor ( Executive VP & CFO ) Robert B. Ford ( President & COO ) [1],US$ 30.578 billion (2018) [2],1888 ; 131 years ago ( 1888 ) (as Abbott Alkaloidal Company),"Abbott Park, Illinois , U.S."
3M Company,Conglomerate,"93,516 (2018) [2]",http://www.3m.com,"Mike Roman ( Chairman , President , & CEO )",US$ 32.765 billion (2018) [1],"June 13, 1902 ; 117 years ago ( 1902-06-13 ) (as Minnesota Mining and Manufacturing Company) Two Harbors , Minnesota , U.S.","Maplewood , Minnesota , U.S."
Albemarle Corporation,Specialty Chemicals,"5,400 [2] (2017)",http://albemarle.com,Luther C. Kissam ( President ) & ( CEO ),$ 3.375 billion (FY 2018) [1] |,1994,"Charlotte, North Carolina , U.S."
Albany International Corp.,Industrial goods,"4,400 [2] (2017)",http://albint.com,"Olivier M. Jarrault, President and Chief Executive Officer; Charles J. Silva Jr., General Counsel and Company Secretary; Stephen Nolan, CFO",US$ 863.7 million (Net sales) [2] (2017),"March 8, 1895 ; 124 years ago ( 1895-03-08 ) in Albany, New York , United States [1]","216 Airport Drive, Rochester, New Hampshire , US"
