Name,产业,員工人數,网站,代表人物,總資產,成立,總部
网站类型,,,http://www.people.com.cn,,,,
上海电影（集团）公司,电影业,,http://www.sfs-cn.com,任仲伦 （ 总裁 ）,,1949年 ( 上海电影制片厂 ) 2001,中国 上海市 徐汇区 漕溪北路 595号
华电国际电力股份有限公司,电力,,http://www.hdpi.com.cn/,赵建国 （ 董事长 ） 陈斌 （副董事长兼黨委書記） 王映黎 （副董事长） 田洪寶 （董事总经理） 李晓鹏 （监事会主席）,,1994年6月28日,中国 北京市 西城区 宣武门 内大街2号
河南黄河旋风股份有限公司,制造企业,,http://www.hhxf.com/,,,1998年,长葛市 人民路200号
大秦鐵路股份有限公司,鐵路 營運,,http://www.daqintielu.com/,董事長 ：杨绍清 总经理 ：关柏林,,2004年,中國 太原
上海申通地铁集团有限公司,城市轨道交通系统 运营及相关开发；持有 上海地铁一号线 部分列车和20年经营权。,,http://www.shmetro.com/,董事长 ： 俞光耀,,1992年6月12日（上海凌桥自来水股份有限公司） [1],上海市 桂林路909号
上海石油化工股份,化學工業,"11,088（2016年） [1]",https://web.archive.org/web/19981205064015/http://www.spc.com.cn/,董事長 ： 吳海君 (暫代),,1972年,中國 上海市 金山区
上海机场（集团）有限公司,航空,,http://www.shairport.com/,董事长： 贾锐军,,1998年2月11日 [3],中国 上海市 浦东机场 启航路900号（2000年前为 虹桥路 2550号） [4] [3]
中國長江電力股份有限公司,水力發電,,http://www.cypc.com.cn/,董事長 ：李永安,,2002年11月4日,中国 北京市 西城区 金融大街19号富凯大厦B座
錦江國際（集團）有限公司,酒店 、 餐飲 服務 、 旅遊 客運 等,,http://www.jinjiang.com/,俞敏亮 （ 董事长 、 党委书记 ）,,1991年4月13日 2003年合并重组,中国 上海市 黄浦区 延安东路 100号 联谊大厦 23楼
铜陵化学工业集团有限公司,化学工业,7000余人 [2],http://www.tlchem.com.cn/,董事长 ： 陈嘉生,,1991年,中华人民共和国 安徽省 铜陵市 翠湖1路2758号
中国银河证券股份有限公司,投资银行,,http://www.chinastock.com.cn,,,,中華人民共和國 北京市 西城区 金融大街35號國際企業大廈C座
廈門金龍聯合汽車工業有限公司,製造、銷售,,http://www.king-long.com.cn/,董事長：郭清泉 總經理：孫建華,,1988年,中华人民共和国 福建省 廈門市
安徽金种子酒业股份有限公司,制造业,,http://www.jzz.cn/,董事长 ： 宁中伟,,1998年7月,中国 安徽省 阜阳市 颍州区 莲花路259号
金地(集团)股份有限公司,房地产开发,6958人（2009年度）,http://www.gemdale.com/,董事长： 凌克,,1988年1月20日,深圳市 福田区
酒泉钢铁（集团）有限责任公司,钢铁,,http://www.jiugang.com/,董事長 ： 冯杰,,1958年,中国 甘肃 嘉峪关
重庆水务,供水 、排水、工程施工,,http://www.cncqsw.com/,董事長 ：武秀峰,,2001年,中國 重庆 渝中区 龙家湾1号
贵人鸟股份有限公司,輕工業,5000人以上,http://kbird.jd.com,林天福 董事主席 王奋 独立董事,,1987年,中华人民共和国 晋江市陈埭沟西工业区
安徽迎驾贡酒股份有限公司,制造业,6608人 [1],http://www.yingjia.cn/,董事长 ： 倪永培,,2003年11月28日 [1],中国 安徽省 六安市 霍山县 佛子岭镇
财通证券股份有限公司,金融业,,,,,1993年 ，​26年前 ​（ 1993 ）,中国 浙江省 杭州市
山西通宝能源股份有限公司,,,,,,1992年,中國 山西省 太原市
上海豫園旅游商城股份有限公司,商場 管理 和 零售,,http://www.yuyuantm.com.cn/,董事長 ：叶凯 總經理 ：梅红健,,1992年,中国 上海市 黄浦区 方浜中路 269号
贵州茅台酒股份有限公司,酒,,http://www.moutaichina.com,董事長 ： 李保芳,,1999年,中國 貴州 仁怀市 茅台镇
遼寧成大股份有限公司,綜合企業,,http://www.chengda.com.cn/,董事長 ：尚書志,,1993年,中國 遼寧 大連
华發实业股份有限公司,地產 、 物业,,http://www.cnhuafas.com,,,1992年8月18日,中国 广东省 珠海市
浙江莎普爱思药业股份有限公司,制药,"2,040人（2017年） [1]",http://www.zjspas.com/,陈德康 （董事长）,,1978年,中华人民共和国 浙江省 嘉兴市 平湖市 经济开发区新明路1588号
上海老凤祥有限公司,珠宝首饰,"1,839人（2009年）",http://www.laofengxiang.com/,胡书刚 （法定代表人，董事长）,,1848年（老凤祥 银楼 ） 1935年10月8日（正式营业）,上海市 漕溪路 260号
紫金礦業,礦業,,http://www.zjky.cn/,,,2000年,中华人民共和国 福建省 龍岩市 上杭县
西部礦業股份有限公司,礦業,,http://www.westmining.com/,董事長 ：汪海涛,,2000年,中國 青海 西寧
长江精工钢结构（集团）股份有限公司,建筑业,,,董事长 ： 方朝阳,,1999年,中国 安徽省 六安市 经济技术开发区长江精工工业园
神華集團,煤炭 、 能源,25萬人,http://www.shenhuagroup.com.cn/,,,1995年10月,中华人民共和国 北京
湖南科力远新能源股份有限公司,制造业,,http://www.corun.com,,,1998年,中国 湖南省长沙市
哈尔滨秋林集团股份有限公司,零售业、食品制造业等,,http://www.qlgroup.com.cn,,,1867年， 俄罗斯帝国 庙街 1900年， 大清 黑龙江将军 辖区 哈尔滨 （今中国黑龙江省哈尔滨市）,中国 黑龙江省 哈尔滨市 南岗区 东大直街319号
安徽皖江物流（集团）股份有限公司,交通运输,,http://www.whpstc.com/,法人代表 ： 张宝春,,2000年11月,中华人民共和国 安徽省 芜湖市 长江中路港一路16号
安徽新华传媒股份有限公司,服务业,,http://www.wxm.com/,董事长 ： 吴文胜,,2002年10月25日,中国 安徽省 合肥市 包河区 北京路8号
新疆百花村股份有限公司,,,http://www.xjbhc.net,,,,
盛和资源控股股份有限公司,,,http://www.scshre.com/,,,,
广州珠江实业开发股份有限公司,房地产开发与经营业,,http://www.gzzjsy.com,董事長 ：郑暑平,,1985年,中国 广东省 广州市 环市东路 362-366号好世界广场30楼
用友软件股份有限公司,信息技术,,http://www.yonyou.com/,董事长兼总裁： 王文京,,1988年,北京市
申能股份有限公司,能源 投資,,http://www.shenergy.net.cn/,董事長 ：仇偉國,,1992年,中國 上海
南京熊猫電子股份公司,信息工程 電子,,http://www.panda.cn/,,,"中國,南京 (1936)","中國,南京"
熊猫金控股份有限公司,互联网金融、烟花燃放,,http://www.600599.com.cn/,,,,中國 北京
玲珑轮胎,轮胎制造商,"13,300",http://en.linglong.cn/,王锋 ( 董事长 ),,1975年 ，​44年前 ​（ 1975 ）,中国 山东 烟台 招远市 金龙路777号
湖南新五丰股份有限公司,以生猪产业经营及出口业务为主,,http://www.newwf.com/,公司董事长邱卫,,,湖南省 长沙市 五一西路 2号第一大道19-20楼
湖北长江出版传媒集团股份有限公司,出版、发行、报纸与新媒体经营、印刷、印刷物资销售,,http://www.cjcb.com.cn/,,,2004年,中国 湖北省 武汉市 洪山区 雄楚大街268号
海通證券股份有限公司,證券,,http://www.htsec.com/,董事長 ：王開國,,1988年,中国 上海
海航集团有限公司,航空业，旅游业，金融服务业，房地产业，物流业,,http://www.hnagroup.com/,陈峰 （董事局主席、董事长） 谭向东 （首席执行官） 李先华（副董事长） 逯鹰（副董事长） 张岭（首席执行官）,,1998年4月16日,中国 海口 - 新海航大廈
同方股份有限公司,資訊科技 、 能源 、 環境,,http://www.thtf.com.cn/,董事長 ：陆致诚,,1997年,中华人民共和国 北京市 清華科技園
海航基础设施投资集团,,,http://www.hnainfrastructure.com,黄秋 （董事长） 曾标志 （首席执行官 兼副董事长）,,,中國海南省海口市 国兴大道5号 海南大厦海航实业中心46层
淮南矿业（集团）有限责任公司,煤炭、电力、房地产、物流、金融、技术服务,,http://www.hnmine.com/,孔祥喜、王世森,,1998年 ​（21年前） ​（ 1998 ）,中华人民共和国 安徽省 淮南市 洞山中路1号
