Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
FAW Car Limited Company,Automotive,,http://www.fawcar.com.cn/,Xu Jian (Chairman),,1997,"Changchun , Jilin , China"
Shandong Chenming Paper Holdings Limited ,Papermaking,,http://www.chenmingpaper.com,Chairman : Mr. Chen Hongguo,$3.32Billion (2013),1996,"Shouguang , Shandong , People's Republic of China"
Changjiang Securities Company Limited ,Securities,,http://www.95579.com/,Chairman : Mr. Hu Yunzhao,,1988,"Wuhan , Hubei , People's Republic of China"
"Zhejiang Dahua Technology Co., Ltd.",Video surveillance Solutions,"11,000",http://www.dahuasecurity.com,,$ 2.1 billion (2016) [1],2001,"Hangzhou , China"
"China Media Group Co., Ltd.",,,http://www.000793.com,,CN¥4.336 billion (2015),,China
Changhong Technology,Injection molding,"2,100 (2012) [1]",http://www.sz-changhong.com,Li Huanchang 李焕昌 (Chairman) Zhou Guoquan 周国铨 (Financial Controller) Tan Longquan 谭龙泉 (G.M.) WangYunfang 王云芳 (V.G.M.),"CNY 351,328,000 (2012)",1987,"Pingshan District , Shenzhen , China"
China International Marine Containers (Group) Company Ltd  ,Shipping and Logistics,"57,686 (as at 31 December 2013)",http://www.cimc.com,Legal Representative and Chairman : Li Jianhong,RMB 57.874 billion (2013),14 January 1980,"Shenzhen , Guangdong , People's Republic of China"
"Beingmate Baby & Child Food Co., Ltd.",,,http://www.beingmate.com,,,1992,"Hangzhou , China"
Beijing Yanjing Beer Company Limited ,Beer,"42,239 [1]",http://www.yanjing.com.cn/,President : Mr. Li Fucheng Chairman :Su Changjiang Director : Li Bing Ji,,1980 [1],"Number 9 Shuanghe Road, Beijing , People's Republic of China"
East Money Information,,,"http://www.eastmoney.com,https://www.wikidata.org/wiki/Q24836492?uselang=en#P856",,,,China
BYD Co Ltd ,"Automobiles , Buses , Electric bicycle , Truck , Forklift , Rechargeable batteries","220,000 in 2017 [3]",http://www.byd.com,"Wang Chuanfu ( Chairman , CEO )",US$8.5 billion (2013),February 1995 ; 24 years ago ( 1995-02 ),"Shenzhen , Guangdong , China"
"Chang'an Automobile (Group) Co., Ltd.",Automotive,,http://www.changan.com.cn/,,,1862 ; 157 years ago ( 1862 ),"Chongqing , China"
Shenzhen Zhongqingbaowang Interaction Network Co Ltd,,1000+,http://www.zqgame.com/,,,2008 ( 2008 ) [1],"Shenzhen , China"
Zoomlion Heavy Industry Science and Technology,Heavy machinery,"30,000",http://www.zoomlion.com,Zhan Chunxin (Chairman & CEO),,"September 28, 1992","Changsha , Hunan , People's Republic of China"
Benxi Steel Group,Iron and steel manufacturing,,"http://www.bxsteel.com/,https://www.wikidata.org/wiki/Q11520512?uselang=en#P856",,CN¥65.251 billion (2014),1905 (Benxi Coal Mine) 1996 (Benxi Iron and Steel Ltd.) 2010 (Benxi Steel),"Benxi , China"
ZTE Corporation,Telecommunications equipment Networking equipment,"74,773 (2017)","http://www.zte.com.cn,http://www.ztedevice.com",Yin Yimin (Chairman) Zhao Xianming (President and Executive Director) [1],CN¥ 85.513 billion (2018),"1985 ; 34 years ago ( 1985 ) (as Zhongxing Semiconductor Co., Ltd.)","55 Hi-tech Road South Shenzhen , Guangdong , China 518057"
"Yunnan Baiyao Group Co., Ltd",Pharmaceutical,,http://www.yunnanbaiyao.com.cn/,,RMB 22.6 billion (2016) [1],,"Kunming , China"
Youzu Interactive Co. Ltd.,Video game industry,1000,http://youzu.com,,,2009 [1],
Zhejiang Yilida Ventilator Co. Ltd,Equipment Manufacturer,2000 (2012),http://www.yilida.com,,$140 Million (2014),1994,"Taizhou , China"
Yunnan Copper Company Limited ,Copper products manufacturing,,http://www.yunnancopper.com/,Chairman : Mr. Liu Mingcai,,1958,"Kunming , Yunnan , People's Republic of China"
CITIC Guoan Information Industry,Information technology,,"http://www.citicguoaninfo.com/,https://www.wikidata.org/wiki/Q4260326?uselang=en#P856",Luo Ning (Chairman),CN¥ 2.809 billion (2015),1997,"Beijing , China"
Wuliangye Yibin Company Limited ,Alcoholic beverage,,http://www.wuliangye.com.cn/en/pages/index.xml,Chairman: Tang Qiao,,1998,"Yibin , Sichuan , China"
"Weichai Power Co., Ltd.",Automotive,"42,000 employés (2014)",http://www.weichai.com,Chairman : Tan Xuguang,,2002,"Weifang , Shandong , People's Republic of China"
Zhejiang Wanma,,,http://www.wanma-cable.cn,,,,"Lin'an District , Hangzhou , China"
"Wanfeng Auto Holding Group Co., Ltd.",manufacturing,"12,000 [1]",http://www.wfjt.com/en/,Bin Chen (CEO),,,"Xinchang County , China"
"Wangsu Science & Technology Co., Ltd (网宿科技股份有限公司)",,"2,846 [2]",http://en.chinanetcenter.com/,"Chengyan Liu [1] (CEO, President) Ke Hong (Vice Chairman, Vice President, CTO) Qian Xiao Vice President, CFO Liping Zhou Vice President, Secretary Minjian Chu Vice President, Director",,2000 ( 2000 ),"Beijing , China"
Xiangxue Pharmaceutical,pharmaceutical drink,,"http://www.xphcn.com/,https://www.wikidata.org/wiki/Q17499736?uselang=en#P856",Wang Yonghui (chairman & CEO),CN¥ 1.862 billion (2016),1986 [1] (predecessor) 29 December 1997 ; 21 years ago ( 1997-12-29 ) (the legal person),"Guangzhou , China"
"China Vanke Co., Ltd. ",Real estate,"77,708 (2018)",http://vanke.com,Chairman: Yu Liang CEO: Yu Liang,US$36.6 billion (2018),1984,"Dameisha , Yantian District , Shenzhen , Guangdong , China"
Wanda Cinema Line Corporation,Entertainment (cinemas),,http://www.wandacinemas.com,Zhang Lin (Chairman),,2005 ; 14 years ago ( 2005 ),"Beijing , China"
"Tianjin TEDA Co., Ltd.",Conglomerate,,http://www.tedastock.com,Hu Jun (chairman),CN¥9.7 billion (2015),20 July 1992 ( 1992-07-20 ),"Tianjin , China"
Tongling Nonferrous Metals Group Holdings Company Limited ,Metal mining,,http://www.tlys.cn/,Chairman : Mr. Yang Jun [2],,1992,"Tongling , Anhui , People's Republic of China"
TCL Corporation,Consumer electronics Home appliances,"79,293 (2016)",http://www.tcl.com,Lǐ Dōngshēng (CEO),US$ 16.44 billion (2014) [1],1981 ; 38 years ago ( 1981 ) (as TTK) 1985 ( 1985 ) (as TCL Corporation),"Huizhou , Guangdong , China"
Suning.com,Retail,,http://www.suning.cn,Zhang Jindong ( Chairman ),CN¥ 148.585 billion (2016),1990 (predecessor) 15 May 1996 ( 1996-05-15 ) (date of incorporation of Suning Domestic Appliance),"Nanjing , China"
"Suning Universal Co., Ltd.",Real estate,,http://www.suning-universal.com,Zhang Guiping (founder and chairman),"CN¥7,375,183,843.93 (2015)",,"Jilin Economic and Technological Development Zone, Jilin, China (legal) Nanjing, China (de facto)"
Zhongjin Lingnan Nonfemet,Non-ferrous metals,,"http://www.nonfemet.com/,https://www.wikidata.org/wiki/Q7494388?uselang=en#P856",Ma Jianhua (Interim Chairman) Wu Shenghui (Executive Director & Secretary of Party Committee ) Yu Gang ( President & Deputy Secretary of Party Committee) [1],CN¥ 16.966 billion (2015),1984,"Shenzhen , China"
"Shandong Ruyi Technology Group Co., Ltd",Textiles and clothing,,,Yafu Qiu (chair),,1972 in China,
Xishan Coal and Electricity Power,Coal mining,,"http://www.xsmd.com.cn/listed/about/,https://www.wikidata.org/wiki/Q8044779?uselang=en#P856",Chairman : Mr. Che Changchun,,1999,"Taiyuan , Shanxi , China"
Shenzhen Energy Group Company Limited ,Power generation,,http://www.sec.com.cn,Chairman : Mr. Gao Zimin,,1993,"Shenzhen , Guangdong , People's Republic of China"
Taiyuan Iron and Steel Group,Conglomerate,,http://www.tisco.com.cn,,CN¥ 90.835 billion (2015),1934 1996 ( 1996 ) (as limited company),"Taiyuan , China"
Qinghai Salt Lake Potash Company Limited ,Chemical fertilizer,,https://web.archive.org/web/20090205194931/http://yhjf.com/,Chairman : Mr. Zheng Changshan,,1997,"Golmud , Qinghai , China"
Ping An Bank,Financial services,,"http://bank.pingan.com/,https://www.wikidata.org/wiki/Q7195659?uselang=en#P856",,CN¥ 96.163 billion (2015),22 June 1995 ( 1995-06-22 ) (Ping An Bank) 22 December 1987 ( 1987-12-22 ) (S.Z. Dev. Bank) 2012 (merger),"Shenzhen , China"
Sanonda,,,http://www.sanonda.cn,An Li-Ru (Chairman),CN¥ 1.855 billion (2016),1958 ( 1958 ) 1992 ( 1992 ) (as limited company),"Jingzhou , Hubei Province , China"
"SF Express (Group) Co., Ltd.",Air Freight and Logistics,"400,000 as of March 2017 [1]",http://www.sf-express.com,,CN¥ 21.65 billion,1993 ( 1993 ),"Shenzhen , Guangdong , China"
Baosteel Group Guangdong Shaoguan Iron and Steel,Iron and steel manufacturing,,,Li Shi-ping (Charmian & Party Committee Secretary ),CN¥ 15.175 billion (2016),1966 (as steel plant) 11 September 1989 ( 1989-09-11 ) (as company) [1] December 1996 (as limited company),"Guangzhou, China (legal) Shaoguan, China (general office)"
Rongyu Group,,,http://www.jlydjt.com,,CN¥146.5 million (2015),1993 (predecessor) 6 November 1998 ( 1998-11-06 ) (date of incorporation),"Jilin City , China"
Perfect World Pictures,Entertainment,,http://www.pwpic.com/,"Michael Chi (Chairman) Rong Chen (President, US) Michael Lee (CFO, US) Grant Derkac (Head of Business Development, US) Ken Kokin (Executive, Development/Production, US)",,2008,"Beijing , China"
"Oceanwide Holdings Co., Ltd.",Conglomerate,,http://www.fhkg.com,Chairman Lu Zhiqiang,CN¥ 12.671 billion (2015),9 May 1989 ( 1989-05-09 ) in Shenzhen 1998 (as Guangcai Construction Group),"Beijing , China"
Mindray Medical International Limited,Medical Devices,"7,500 (2019) [1]",http://www.mindray.com/,"Li Xiting, CEO Xu Hang, Chairman Cheng Minghe, Executive VP",$1.3 billion USD (2014),"Shenzhen, China (1991)","Shenzhen, China"
Midea Group,,,http://www.midea.com,Paul Fang ( Chairman ),CN¥ 261.820 billion (2018),1968 ; 51 years ago ( 1968 ),"Beijiao , Guangdong province , China"
Luzhou Laojiao Company Limited ,Beverages,,http://www.lzlj.com/,Chairman: Xie Ming,,,"Luzhou , Sichuan , China"
PKU Healthcare,pharmaceutical,,http://www.pku-hc.com,,CN¥2.011 billion (2015),,"Chongqing , China"
"Pangang Group Vanadium Titanium & Resources Co., Ltd.  ","Iron , steel and vanadium manufacturing",,http://www.pzhsteel.com.cn/pgvt/,Chairman : Mr. Fan Zhengwei General manager : Mr. Zhang Dade,,1993,"Panzhihua , Sichuan , People's Republic of China"
Guangxi LiuGong Machinery,Conglomerate,"Approximately 11,000",http://www.liugong.com/en/,Wang Xiaohua (Chairman) Zeng Guang'an (Vice Chairman and President),"CNY 17,798 million (FY 2011) [1]",1958,"Liuzhou , China"
"Leyard Optoelectronic Co., Ltd.",Electronics,,http://leyard.com/en/,,,,"Shenzhen , China"
Jilin Aodong Medicine Industry Group Company Limited ,Pharmaceutical,,http://www.jlaod.com/,Chairman : Mr. Li Xiulin,,1993,"Dunhua , Jilin , People's Republic of China"
"Konka Group Co., Ltd.",Electronics,,http://www.konka.com/,Liú Fèngxǐ (刘凤喜) ( Chairman and President ),,1980 ; 39 years ago ( 1980 ),"Shenzhen , Guangdong , China"
Jasic Technology Company Ltd.,Welding Equipment and Services,,http://www.jasictech.com/,"Lei Pan (Chairman of the Board) Ruyi Xia (CFO, Financial Director, Deputy General Manager)",,"2005 ; 14 years ago ( 2005 ) , in Shenzhen, Guangdong , People's Republic of China","Shenzhen, China"
Jereh Group,Oilfield services,"5,000 [2]",http://en.jereh.com/,Sun Weijie (CEO) [1],,,"Yantai , China"
iFlytek,Information technology,,http://www.iflytek.com,,,1999 ; 20 years ago ( 1999 ),"Hefei , Anhui , China"
Huayi Brothers Media Corporation,Entertainment,,http://huayimedia.com,"Wang Zhongjun (Chairman & CEO ), Wang Zhonglei (President)","CNY 892,000,000 (2011)",1994,"Beijing , China"
Kuang-Chi,metamaterials smart-city tele-communication,2600,http://www.kuang-chi.com,,,"July 13, 2010 ; 9 years ago ( 2010-07-13 )","Shenzhen , China"
Kelon,White goods manufacturing,,http://www.kelon.com/,Chairman : Mr. Tang Yeguo General manager : Mr. Wang Shilei,,1984 ; 35 years ago ( 1984 ),"Shunde , Foshan , Guangdong , People's Republic of China"
"Hangzhou Hikvision Digital Technology Co., Ltd.",Video surveillance,"26,330 (2017)","http://www.hikvision.com,https://www.wikidata.org/wiki/Q5760704?uselang=en#P856",Gong Hongjia (vice-chairman) Chen Zongnian (chairman) Hu Yangzhong (director),CN¥ 41.905 billion (2017),2001,"Hangzhou , China"
Leshi Internet Information and Technology Corp. Beijing,,"5,389 (2016)","http://www.le.com,https://www.wikidata.org/wiki/Q27808154?uselang=en#P856",Sun Hongbin (chairman) Liang Jun ( general manager ),CN¥ 21.987 billion (2016),November 2004 ; 14 years ago ( 2004-11 ),"Chaoyang District , Beijing , China"
Overseas Chinese Town,,,"http://www.octholding.com/,https://www.wikidata.org/wiki/Q27866051?uselang=en#P856",Duan Xiannian (Chairman & Party Committee Secretary ),CN¥ 32.236 billion (2015),1997,"Shenzhen , China"
Guosen Securities,Investment company,"11,500",http://www.guosen.com.cn,He Ru ( Chairman ),RMB 7.8 billion (2010) [1],1989,"Shenzhen , People's Republic of China"
Gree Electric Appliances Inc. of Zhuhai,"Electronics , Household appliances",,http://www.gree.com,Dong Mingzhu (Chairwoman & President ),,1989 ; 30 years ago ( 1989 ),"Zhuhai , Guangdong , China"
Goertek Inc.,,,http://goertek.com/en,,,,
Focus Media,Advertising agency,3548,http://www.focusmedia.cn,"Jason Jiang , Chairman Zhi Tan , CEO Mingdong Wu , CFO Congrong Chen , COO",$68.229 million USD (2005),2003,"Shanghai , China"
Financial Street Holding Company Limited ,Real estate,,http://www.jrjkg.com/,Chairman : Mr. Wang Gongwei,,1996,"Beijing , People's Republic of China"
Beijing Enlight Media,,,,Wang Changtian (Chairman & GM ) [1] Li Xiaoping (Deputy GM) Li Delai (Deputy GM),CN¥1.523 billion [1] (2015),24 April 2000 ; 19 years ago ( 2000-04-24 ),"Beijing , China"
Bank of Ningbo,Financial services,,"http://www.nbcb.cn,https://www.wikidata.org/wiki/Q4856166?uselang=en#P856",Lu Huayu (Chairman),CN¥19.516 billion (2015),1997,"Ningbo , China"
