Name,产业,員工人數,网站,代表人物,總資產,成立,總部
深圳信隆健康产业发展股份有限公司,铁路、船舶、航空航天和其它运输设备制造业,,,,,,
诚志股份有限公司,,,http://www.chengzhi.com.cn,,,1998年 [1],中华人民共和国
上海晨之科信息技术有限公司,,,http://www.morningtec.cn,朱明（董事长）,,,
网站类型,,,http://www.2345.com,,,,中国 上海市 浦东新区 软件园
COLMO,家用电器,,http://colmo.com.cn,,,2018年10月 [1],中国 广东省 佛山市
三七互娱（上海）科技有限公司,,,http://www.37wan.net/,,,,中国 上海 嘉定区南翔镇银翔路655号809室
重庆三峡油漆股份有限公司,化学原料及化学制品制造业,,,,,,
三只松鼠,互联网 电商,,https://www.3songshu.com/,,,2012年2月16日 ，​7年前 ​（ 2012-02-16 ）,中华人民共和国 安徽省 芜湖市 弋江区 芜湖高新技术产业开发区久盛路8号
江苏三六五网络股份有限公司,服务业,,http://www.house365.com,董事长 ： 章海林,,2006年1月17日 [1],中华人民共和国 江苏省 南京市
万达集团,商業、文化、地產、金融,,http://www.wanda.cn/,王健林,,1988年 ( 1988 ) 中国 遼寧省 大連市,中国 北京市 朝阳区 建国路 93号 万达广场 B座
大連友誼（集團）股份有限公司,百貨零售、酒店管理及房地產開發,,,,,,
四川大通燃气开发股份有限公司,零售业,,,,,,
大族激光科技产业集团股份有限公司,制造业,9806人 [2],https://www.hanslaser.com/,董事长 ： 高云峰,,2001年9月28日,中华人民共和国 广东省 深圳市 南山区 深南大道 9988号
大华技术股份有限公司,视频监控,13000人,http://www.dahuasecurity.com,,,2001,中华人民共和国 杭州
大连冷冻机股份有限公司,普通机械制造业,,,,,,
海南大东海旅游中心股份有限公司,旅馆业,,,,,,
安徽国风塑业股份有限公司,塑料 制造业,1421人 [2],http://www.guofeng.com,董事长 ： 黄琼宜,,1998年9月23日,中华人民共和国 安徽省 合肥市 蜀山区 国家高新技术产业开发区长宁大道与铭传路交口
新疆国际实业股份有限公司,制造业、石油加工及炼焦业、炼焦业,,http://www.xjgjsy.com,法人代表：丁治平,,1999年3月28日,新疆维吾尔自治区乌鲁木齐市黄河路2号招商银行大厦11楼
国轩高科股份有限公司,制造业,,http://www.hfgxgk.com/,董事长 ： 李缜,,1995年,注册地址： 中国 江苏省 南通市 通州区 十总镇东源大道1号 办公地址： 中国 安徽省 合肥市 瑶海区 新站区岱河路599号
恒立实业发展集团股份有限公司,专用设备制造业,,http://www.hlsyfzjt.com/,,,1993年3月,岳阳市青年中路（注册地址）
深圳市物业发展(集团)股份有限公司,房地产开发,,http://www.szwuye.com.cn/,,,1983年1月17日,深圳
深圳市纺织（集团）股份有限公司,商业经纪与代理业,,http://www.chinasthc.com,法人代表：王滨,,1994年8月6日,深圳市福田区华强北路3号深纺大厦六楼
深圳经济特区房地产（集团）股份有限公司,房地产开发及商品房销售、物业租赁及管理、建筑装饰安装、商品零售及贸易、酒店及餐饮服务,,http://www.sfjt.com.cn,周建国（董事长）,,1980年1月8日,中國廣東省深圳市深房广场47楼
深圳市深宝实业股份有限公司,饮料制造业,,http://www.sbsy.com.cn,法人代表：郑煜曦,,1981年7月30日,深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层
深圳桑达实业股份有限公司,通信设备制造、国内商业、物资供销业,,http://www.sedind.com,法人代表：张永平,,1993年12月4日,深圳市南山区科技园科技路1号桑达科技大厦15—17楼
深圳市天地(集团)股份有限公司,制造业、非金属矿物制品业,,http://www.000023.cn,法人代表：杨国富,,1984年11月16日,深圳市高新技术产业园（北区）朗山路东物商业大楼10楼
深圳赤湾港航股份有限公司,港口,,,,,1982年,中国 深圳市 赤湾港 赤湾石油大厦
深圳赤湾石油基地股份有限公司,,,http://www.szcwh.com,郑少平,,1990年7月19日,深圳市赤湾石油大厦8楼
深圳市特力(集团)股份有限公司,能源、材料和机械电子设备批发业、汽车、摩托车及零配件批发业,,http://www.tellus.cn,法人代表：郭东日,,1986年11月10日,深圳市福田区深南中路中核大厦十五楼
深圳市振业(集团)股份有限公司,房地产开发,,,董事长：李永明,,1989年5月25日,深圳
深圳能源集團,電力,,http://www.sec.com.cn,熊佩锦 （ 董事长 兼 党委书记 ） 黄历新 （副董事长） 王平洋 （ 董事总经理 兼 党委 副书记） 龙庆祥 （ 监事会 主席兼 纪委书记 ）,,1993年 [1],中國 廣東 深圳
