Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Aigan,,,,,,,"Tennōji-ku , Japan"
"ACCESS CO., LTD.",Mobile software Smart TV software Automotive software Digital Publishing Next Generation Networks,615,http://access-company.com,Nobuya Murofushi ( CEO ) Koichi Narasaki ( COO ) Kunihiro Ishiguro ( CTO ),,,"Tokyo , Japan"
Tokyo Stock Exchange,,,http://www.jpx.co.jp/english/,,,"May 15, 1878 ; 141 years ago ( 1878-05-15 ) (as Tokyo Kabushiki Torihikijo) May 16, 1949 ( 1949-05-16 ) (as Tokyo Stock Exchange)",
Aichi Steel Corporation,Steel,"4,773 (consolidated, as of March 31, 2017)",http://www.aichi-steel.co.jp/ENGLISH/index.html,Takahiro Fujioka ( President ),"JPY 236 billion ( FY 2017)
                      ( US$ 2.1 billion) (FY 2017)","March 8, 1940 ; 79 years ago ( 1940-03-08 )","Tōkai city, Aichi Prefecture 110-8408 , Japan"
"ÆON Co., Ltd.",Retailing,"500,000+ (FY 2016)",https://www.aeon.info/en/,"Motoya Okada ( 岡田 元也 Okada Motoya ), President","¥8,176,732 million ( FY 2016)",1758 ; 261 years ago ( 1758 ) (as Shinoharaya),"Chiba , Japan"
Advantest Corporation ,,"4,564 (2015)",http://www.advantest.com,,US$1.8 billion (2018),1954 ; 65 years ago ( 1954 ),"Chiyoda, Tokyo , Japan"
AGC Inc.,Glass Ceramics,"6,269 (non-consolidated) 51,500 (consolidated) (as of December 31, 2013)",http://www.agc.com/english/index.html,Takuya Shimamura ( CEO and President ),"¥ 1,282.570 billion (2016) [1]","Amagasaki , Hyōgo , Japan (September 8, 1907 ( 1907-09-08 ) )","1-5-1, Marunouchi , Chiyoda-ku , Tokyo 100-8405, Japan"
"Capcom Co., Ltd.",Video games,"2,832 (2019) [3]",http://www.capcom.com/,Kenzo Tsujimoto (Chairman and CEO) Haruhiro Tsujimoto (President and COO),¥94.5 billion (2019) [2],"May 30, 1979 ; 40 years ago ( 1979-05-30 ) [1]","Chūō-ku, Osaka , Japan"
"Brother Industries, Ltd.","Printers , Machinery","31,314 (consolidated) 3,779 (non-consolidated)",http://global.brother,Yoshihiro Yasui ( Chairman ) Toshikazu Koike ( President ),,1908 ; 111 years ago ( 1908 ) (as Yasui Sewing Machine Co.),"Nagoya , Aichi , Japan"
"The Aichi Bank, Ltd. ",Financial services,,"http://www.aichibank.co.jp/index_ff.html,https://www.wikidata.org/wiki/Q746428?uselang=en#P856",,,1910,"Nagoya , Aichi , Japan"
Bridgestone Corporation,Auto and Truck parts,"143,616 (2017)",http://www.bridgestone.com,Masaaki Tsuya (Chairman and CEO),¥ 3.337 trillion (2016 [1] ),"1 January 1931 ; 88 years ago ( 1931-01-01 ) Kurume , Fukuoka , Japan","Kyobashi , Tokyo , Japan"
"Konica Minolta, Inc",Electronics,"43,300 (as of June 2017)",https://www.konicaminolta.com,Vaibhav Pawar (President and CEO),¥ 1.011 trillion (2015),5 August 2003 ; 16 years ago ( 2003-08-05 ),"Marunouchi , Chiyoda , Tokyo, Japan"
Canon Inc.,Electronics,"197,673 (2017) [2]",http://global.canon/,Fujio Mitarai ( Chairman & CEO ) Masaya Maeda ( President & COO ),¥3.401 trillion (2016) [1],"10 August 1937 ; 82 years ago ( 1937-08-10 ) (as Seikikōgaku kenkyūsho (Jpn. 精機光學研究所 , Precision Optical Industry Co. Ltd.) Tokyo , Japan","Ōta, Tokyo , Japan"
Komori Corporation ,Machinery,"2,227 (as of March 31, 2018, Consolidated) [1]",http://www.komori.com/contents_com/index.htm,"Yoshiharu Komori ( Chairman , President and CEO )","US$ 897 million ( FY 2013)
                   ( ¥ 91.83 billion) (FY 2013)","Higashikomagata, Sumida-ku , Tokyo , Japan (October 20, 1923 ; 95 years ago ( 1923-10-20 ) )","11-1 Azumabashi 3-chome, Sumida-ku, Tokyo 130-8666, Japan"
Konami Holdings Corporation,Entertainment Video games,"10,392 (2019) [3]",https://www.konami.com/en/,Kagemasa Kozuki (Chairman) Takuya Kozuki (President),¥ 262.5 billion ( 2019 ) [1],"March 21, 1969 ; 50 years ago ( 1969-03-21 )","Tokyo Midtown , Minato, Tokyo , Japan"
"Kobe Steel, Ltd.",Steel,"39,341 (consolidated) (as of March 31, 2019)",http://www.kobelco.co.jp/english/,"Mitsugu Yamaguchi, ( CEO and President )","$ 15.87 billion ( FY 2016)
                   ( ¥ 1.696 trillion) (FY 2016)","Kobe, Japan (September 1, 1905 ; 114 years ago ( 1905-09-01 ) )","2-4, Wakinohama-Kaigandori 2-chome, Chūō-ku , Kobe , Hyōgo , 651-8585, Japan"
Komatsu Ltd.,"Heavy equipment ( construction , mining and forestry ), Defense technology","59,632 (Consolidated) [1]",https://home.komatsu/en/,Hiroyuki Ogawa ( President and CEO ) Tetsuji Ohashi (Chairman of the Board),US$22.5 billion (FY2017),"May 13, 1921 ; 98 years ago ( 1921-05-13 )","Tokyo , Japan"
AIFUL Corporation,Consumer finance,"2,293 (2017)","http://www.aiful.co.jp/,https://www.wikidata.org/wiki/Q4696808?uselang=en#P856",Yoshitaka Fukuda ( President and CEO ),¥91.450 billion (2016),April 1967 ; 52 years ago ( 1967-04 ),"Shimogyō-ku , Kyoto , Japan"
"Koei Tecmo Holdings Co., Ltd.",Video games,"1,757 [1]",http://www.koeitecmo.co.jp/,Keiko Erikawa (Chairman) Yoichi Erikawa (President and CEO),,"April 1, 2009 ; 10 years ago ( 2009-04-01 ) (as Tecmo Koei Holdings)","Yokohama , Japan"
"Kintetsu World Express, Inc. (KWE)",Logistics,"18,129 (consolidated)",http://www.kwe.com,Nobutoshi Torii ( President and CEO ),"¥ 474,330 million (FY ended March 2017) [1]","January 10, 1970","Shinagawa Intercity Tower A, Kōnan, Minato, Tokyo , Japan"
"Kintetsu Railway Co., Ltd.",Ground Transport,,http://www.kintetsu.jp,Tetsuya Kobayashi ( Chairman ) Michiyoshi Wadabayashi ( President ),,"April 30, 2014 ; 5 years ago ( 2014-04-30 ) in Osaka, Osaka Prefecture, Japan",
"The Kinki Sharyo Co., Ltd. ",Rolling stock manufacturing,1000,http://www.kinkisharyo.co.jp/e_index.htm,Itsuo Morishita (President),,"December 19, 1920 ( 1920-12-19 )","Osaka , Japan"
Kikkoman Corporation,Food,"5,622",http://www.kikkoman.com/,Yuzaburo Mogi (Chairman) Noriaki Horikiri (President and CEO),US$ 3.369 billion (2014),"December 7, 1917 ; 101 years ago ( 1917-12-07 )","Noda , Japan"
"Kirin Company, Limited",Beverage,870 (2013),http://www.kirin.co.jp,Senji Miyake (President and CEO),,1885 ; 134 years ago ( 1885 ),"Nakano-ku, Tokyo , Japan"
"Kintetsu Department Store Co., Ltd. ",Retail,,http://abenoharukas.d-kintetsu.co.jp,,"¥291,502 million (2012) [1] ¥295,763 million (2011)","Kyoto, Japan (September 29, 1934 ( 1934-09-29 ) , ""Marubutsu Company"")","1-43, Abenosuji Itchome, Abeno-ku , Osaka , Japan"
"KI Holdings Co., Ltd.",Components,"2,087 (Consolidated, as of March 2011) [1]",http://www.koito-ind.co.jp/english/,,,1915,"Totsuka-ku , Yokohama , Japan"
Keyence Corporation,Electronics,"6,602 (2017) [1]",https://www.keyence.com,Takemitsu Takizaki (Founder & Honorary Chairman) Akinori Yamamoto (President),US$4.958 billion (2018),"May 27, 1974 ; 45 years ago ( 1974-05-27 )","Osaka , Japan"
Keihin Corporation,Automotive,"22,310 (consolidated, as of March 31, 2017)",https://www.keihin-corp.co.jp/english/index.php,Chitoshi Yokota ( President ),"JPY 351 billion ( FY 2017)
                      ( US$ 3.1 billion) (FY 2017)","December 19, 1956 ; 62 years ago ( 1956-12-19 )","Shinjuku Nomura Building , Shinjuku , Tokyo , Japan"
Lion Corporation,Consumer goods,"5,972 (consolidated, as of December 31, 2010)",http://www.lion.co.jp/,Sadayoshi Fujishige (President),"¥331,100 million (December 2010)",13 September 1918 ; 101 years ago ( 1918-09-13 ),"3-7, Honjo Itchome, Sumida, Tokyo , Japan 130-8644"
"Mitsubishi Estate Co., Ltd.",Real estate,,http://www.mec.co.jp/index_e.htm,Keiji Kimura (Chairman) Hirotaka Sugiyama (President),,"May 7, 1937 ; 82 years ago ( 1937-05-07 )","Otemachi Building 6-1, Otemachi 1-chome Chiyoda-ku, Tokyo , Japan"
"Shin-Etsu Chemical Co., Ltd.",Chemicals,"17,892 (as of April 28, 2014)",http://www.shinetsu.co.jp,Chihiro Kanagawa ( Chairman ) Shunzo Mori ( President ),"$ 13 billion ( FY 2017)
                  ( JPY 1,441.4 billion) (FY 2017)","(September 16, 1926 ; 93 years ago ( 1926-09-16 ) ) (as Shin-Etsu Nitrogen Fertilizer)","6-1, Ōtemachi 2-chome, Chiyoda-ku , Tokyo 100-0004, Japan"
Keikyu Corporation,Public transport Real estate Retail,,http://www.keikyu.co.jp,"Kazuyuki Harada, President & CEO",,,"Minato, Tokyo , Japan"
Shimizu Corporation,Heavy construction Engineering Project Management,"15,616 (consolidated) (As of April 1, 2013)",http://www.shimz.co.jp/english/index.html,Kazuyuki Inoue ( CEO and President ),"$ 15.043 billion USD ( FY 2012)
                   (¥  1,416 billion JPY ) ( FY 2012)",1804 ; 215 years ago ( 1804 ) ) Edo (present day Tokyo),"2-16-1 Kyobashi , Chuo-ku , Tokyo 104-8370, Japan"
