Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
株式会社アークス,小売業,"連結：4,214人 単体：85人 （2014年2月末日現在）",http://www.arcs-g.co.jp/,,200億円 （2014年2月末日現在）,1961年 10月28日,
株式会社IBJ,サービス業,連結742名（2019年1月時点）,https://www.ibjapan.jp/,残間里江子 (社外取締役),"6億1,619万5,250円（2018年12月時点） [1]",2006年2月,
アイビーシー株式会社,情報・通信業,47名（2015年9月） ・従業員平均年齢：34歳,https://www.ibc21.co.jp/,,4億283万円,2002年10月16日,
株式会社アーク,その他製品,単体835人（2017年3月）,https://www.arrk.co.jp/,,20億円,1968年（昭和43年）12月10日,
株式会社アウトソーシング,サービス業,"単独5,873名 連結11,394名",https://www.outsourcing.co.jp/,,4億8544万3千円,1997年 （平成9年） 1月6日,〒 420-0852 静岡県 静岡市 葵区 紺屋町17-1 葵タワー 19F
株式会社アイモバイル,,連結223名 単体198名 [1] （2017年7月現在）,https://www.i-mobile.co.jp/,,"9,800万円 [1]",2007年8月17日 [1],
アイホン株式会社,電気機器,"連結：1,947名 単体：1,062名 （2019年3月31日現在） [1]",https://www.aiphone.co.jp/,,"53億8,884万円 （2019年3月31日現在）",1959年 3月16日 （創立： 1948年 6月1日 ）,愛知県 名古屋市 熱田区 神野町 2-18 （ 地図 ）
株式会社アインホールディングス,小売業,"連結4,429人 （2015年4月30日現在）",https://www.ainj.co.jp/,,"86億8,297万円 （2015年4月30日現在）",1969年 （ 昭和 44年） 8月2日 （株式会社第一臨床検査センター）,
株式会社アイネット,情報・通信業,"連結:1,675人 単独:945人 （2019年4月1日現在）",https://www.inet.co.jp/,,32億399万2千円,1971年 4月22日 （株式会社フジコンサルト）,
アイフル株式会社,その他金融業,"連結：1,350人 単独：903人 （2015年3月31日現在）",https://www.aiful.co.jp/,,"1,434億1百万円 （2015年3月31日現在）",1978年 2月1日,
IDEC株式会社,電気機器,"連結:3,654名  単独:799名 （2019年3月31日現在）",http://www.idec.com/jpja/,,"10,056百万円",1947年 （昭和22年） 3月26日 （和泉電気株式会社）,
愛知時計電機株式会社,精密機器,"連結：1,770名、単独：1,206名 （2015年3月31日現在） [2]",https://www.aichitokei.co.jp/,,"32億1,800万円 [2]",1949年 （ 昭和 24年） 6月1日,
株式会社アイティフォー,情報・通信業,(単体)412名 (連結)609名 （2017年3月末日現在),https://www.itfor.co.jp/,,11億2400万円（2013年3月現在）,1959年 （昭和34年） 5月8日 （日本システマティック株式会社）,
株式会社エーアイテイー,倉庫・運輸関連業,単体222人 連結465人 （2013年2月末現在）,http://www.ait-jp.com/,,2億7114万311円 （2018年2月28日現在）,1988年 2月1日,
アイティメディア株式会社,サービス業,202名（連結、2018年3月末日現在）,https://corp.itmedia.co.jp/,,17億0871万円（2018年3月末日現在）,1999年 12月 （ソフトバンク・ジーディーネット株式会社として設立）,
エア・ウォーター株式会社,化学,"連結：15,757(6,346)人 単体：856人 （2019年3月31日現在）※1",https://www.awi.co.jp/,,322億63百万円,1929年 （昭和4年） 9月24日 （北海酸素株式会社）,
株式会社アイネス,情報・通信業,"連結1,638名 （2019年3月31日）",https://www.ines.co.jp/,,"15,000百万円（2019年3月28日）",1964年 7月28日,〒 224-8507 神奈川県 横浜市 都筑区 牛久保3丁目9-2
株式会社ウッドワン,その他製品,"1,324名（2019年3月31日現在）",https://www.woodone.co.jp/,,73億2497万円 （2013年3月31日現在）,1952年 4月2日 （創業： 1935年 ）,
